Date,Value,Type
2019-07-23,0.07142857142857142,Top
2019-07-24,0.1,Top
2019-07-26,0.125,Top
2019-12-20,0.25,Top
2020-01-09,0.1111111111111111,Top
2020-01-10,0.18181818181818182,Top
2020-01-13,0.16666666666666666,Top
2020-01-14,0.14285714285714285,Top
2020-01-16,0.15384615384615385,Top
2020-01-17,0.1,Top
2020-01-21,0.2222222222222222,Top
2020-01-22,0.07692307692307693,Top
2020-01-23,0.09090909090909091,Top
2020-01-24,0.14285714285714285,Top
2020-01-27,0.07692307692307693,Top
2020-01-28,0.1,Top
2020-01-29,0.1,Top
2020-07-20,0.07142857142857142,Top
2020-07-21,0.14285714285714285,Top
2020-07-22,0.21428571428571427,Top
2020-07-23,0.15384615384615385,Top
2020-07-24,0.07142857142857142,Top
2020-07-27,0.07692307692307693,Top
2020-07-28,0.07142857142857142,Top
2020-08-03,0.125,Top
2020-08-04,0.3076923076923077,Top
2020-08-05,0.07142857142857142,Top
2020-08-06,0.18181818181818182,Top
2020-08-07,0.125,Top
2020-08-10,0.08333333333333333,Top
2020-08-11,0.15384615384615385,Top
2020-08-13,0.08333333333333333,Top
2020-08-14,0.16666666666666666,Top
2020-10-07,0.08333333333333333,Top
2020-10-08,0.1,Top
2020-12-08,0.1111111111111111,Top
2021-01-27,0.1,Top
2021-02-01,0.2,Top
2021-02-17,0.07142857142857142,Top
2022-05-12,0.14285714285714285,Bottom
2022-05-17,0.09090909090909091,Bottom
2022-05-20,0.06666666666666667,Bottom
2022-07-05,0.14285714285714285,Bottom
2022-07-06,0.09090909090909091,Bottom
2022-07-13,0.1111111111111111,Bottom
2022-07-14,0.125,Bottom
2022-07-18,0.14285714285714285,Bottom
2022-09-22,0.125,Bottom
2022-10-11,0.16666666666666666,Bottom
2023-06-12,0.08333333333333333,Top
2023-06-16,0.1111111111111111,Top
2024-01-24,0.07692307692307693,Top
2024-01-25,0.07692307692307693,Top
2024-02-06,0.3333333333333333,Top
2024-02-07,0.2,Top
2024-02-09,0.3333333333333333,Top
2024-02-12,0.14285714285714285,Top
2024-02-13,0.16666666666666666,Top
2024-02-14,0.4444444444444444,Top
2024-02-15,0.2857142857142857,Top
2024-02-16,0.3333333333333333,Top
2024-02-20,0.2,Top
2024-02-23,0.16666666666666666,Top
2024-02-26,0.1111111111111111,Top
2024-02-28,0.125,Top
2024-02-29,0.125,Top
2024-03-01,0.2,Top
2024-03-04,0.3,Top
2024-03-05,0.3,Top
2024-03-06,0.2727272727272727,Top
2024-03-07,0.2,Top
2024-03-08,0.36363636363636365,Top
2024-03-11,0.25,Top
2024-03-12,0.2727272727272727,Top
2024-03-13,0.4444444444444444,Top
2024-03-14,0.3,Top
2024-03-15,0.2222222222222222,Top
2024-03-18,0.25,Top
2024-03-19,0.1111111111111111,Top
2024-03-20,0.125,Top
2024-03-21,0.1,Top
2024-03-22,0.3333333333333333,Top
2024-06-12,0.1111111111111111,Top
2025-04-08,0.1111111111111111,Bottom
2025-07-03,0.09090909090909091,Top
2025-07-07,0.08333333333333333,Top
2025-07-08,0.09090909090909091,Top
2025-07-09,0.1,Top
2025-07-11,0.09090909090909091,Top
2025-07-17,0.09090909090909091,Top
2025-10-01,0.14285714285714285,Top
2025-10-09,0.1,Top
2025-10-20,0.09090909090909091,Top
2025-10-21,0.14285714285714285,Top
2025-11-03,0.09090909090909091,Top
2025-11-04,0.16666666666666666,Top
2025-11-05,0.2222222222222222,Top
2025-11-06,0.14285714285714285,Top
2026-04-22,0.3076923076923077,Top
2026-04-24,0.1,Top
2026-05-06,0.1,Top
2026-05-07,0.6,Top
2026-05-08,0.25,Top
2026-05-11,0.14285714285714285,Top
2026-05-13,0.5,Top
2026-05-26,0.16666666666666666,Top
2026-06-03,0.25,Top
