Date,Value,Type
2019-12-27,0.125,Top
2019-12-30,0.1111111111111111,Top
2019-12-31,0.2222222222222222,Top
2020-01-02,0.23076923076923078,Top
2020-01-03,0.3333333333333333,Top
2020-01-06,0.2727272727272727,Top
2020-01-07,0.3,Top
2020-01-08,0.3,Top
2020-01-09,0.36363636363636365,Top
2020-01-10,0.4444444444444444,Top
2020-01-13,0.3333333333333333,Top
2020-01-14,0.38461538461538464,Top
2020-01-15,0.4166666666666667,Top
2020-01-16,0.4444444444444444,Top
2020-01-17,0.5555555555555556,Top
2020-01-21,0.38461538461538464,Top
2020-01-22,0.36363636363636365,Top
2020-01-23,0.38461538461538464,Top
2020-01-24,0.6363636363636364,Top
2020-01-27,0.4,Top
2020-01-28,0.23076923076923078,Top
2020-01-29,0.09090909090909091,Top
2020-02-03,0.09090909090909091,Top
2020-08-03,0.06666666666666667,Top
2020-08-07,0.08333333333333333,Top
2020-08-10,0.13333333333333333,Top
2020-08-12,0.2,Top
2020-08-13,0.13333333333333333,Top
2020-08-14,0.16666666666666666,Top
2020-08-17,0.1,Top
2020-08-18,0.38461538461538464,Top
2020-08-19,0.26666666666666666,Top
2020-08-20,0.07692307692307693,Top
2020-08-21,0.09090909090909091,Top
2020-08-26,0.08333333333333333,Top
2020-08-27,0.36363636363636365,Top
2020-08-28,0.23076923076923078,Top
2020-08-31,0.2222222222222222,Top
2020-09-01,0.2727272727272727,Top
2020-09-02,0.23076923076923078,Top
2020-09-03,0.1,Top
2020-09-04,0.08333333333333333,Top
2021-01-11,0.1,Top
2021-01-15,0.1111111111111111,Top
2021-01-26,0.42857142857142855,Top
2021-03-22,0.07692307692307693,Top
2021-04-20,0.09090909090909091,Top
2021-07-12,0.125,Top
2021-08-10,0.08333333333333333,Top
2021-08-12,0.1,Top
2021-08-26,0.08333333333333333,Top
2021-08-30,0.08333333333333333,Top
2021-09-01,0.08333333333333333,Top
2023-07-03,0.1111111111111111,Top
2023-07-07,0.125,Top
2023-07-13,0.1111111111111111,Top
2023-07-14,0.16666666666666666,Top
2023-07-17,0.1,Top
2023-07-18,0.14285714285714285,Top
2023-07-20,0.14285714285714285,Top
2023-07-25,0.3333333333333333,Top
2023-07-26,0.2222222222222222,Top
2023-07-27,0.38461538461538464,Top
2023-07-28,0.375,Top
2023-07-31,0.3333333333333333,Top
2023-08-01,0.4,Top
2023-08-02,0.14285714285714285,Top
2023-08-03,0.4,Top
2023-08-07,0.09090909090909091,Top
2023-12-19,0.14285714285714285,Top
2023-12-22,0.125,Top
2024-01-02,0.2,Top
2024-02-07,0.1,Top
2024-02-12,0.21428571428571427,Top
2024-02-13,0.15384615384615385,Top
2024-02-16,0.2222222222222222,Top
2024-02-21,0.08333333333333333,Top
2024-02-26,0.3,Top
2024-02-27,0.21428571428571427,Top
2024-02-28,0.1,Top
2024-02-29,0.08333333333333333,Top
2024-03-01,0.09090909090909091,Top
2024-03-05,0.2,Top
2024-03-06,0.16666666666666666,Top
2024-03-07,0.18181818181818182,Top
2024-03-08,0.23076923076923078,Top
2024-03-12,0.1,Top
2024-03-13,0.1111111111111111,Top
2024-03-14,0.16666666666666666,Top
2024-03-15,0.08333333333333333,Top
2024-03-22,0.08333333333333333,Top
2024-03-25,0.13333333333333333,Top
2024-03-28,0.08333333333333333,Top
2024-04-02,0.08333333333333333,Top
2024-06-24,0.1111111111111111,Top
2024-07-16,0.3333333333333333,Top
2024-07-17,0.09090909090909091,Top
2024-07-23,0.08333333333333333,Top
2024-11-25,0.25,Top
2024-11-26,0.09090909090909091,Top
2024-11-27,0.13333333333333333,Top
2024-12-04,0.09090909090909091,Top
2024-12-09,0.09090909090909091,Top
2024-12-11,0.16666666666666666,Top
2024-12-12,0.13333333333333333,Top
2024-12-13,0.15384615384615385,Top
2024-12-16,0.08333333333333333,Top
2025-07-10,0.0625,Top
2025-10-08,0.07142857142857142,Top
2025-10-23,0.07692307692307693,Top
2025-10-28,0.07692307692307693,Top
2025-11-12,0.25,Top
2025-11-13,0.07692307692307693,Top
2025-11-14,0.09090909090909091,Top
2025-12-22,0.08333333333333333,Top
2026-01-27,0.06666666666666667,Top
